RUN	com.github.mnogu.gatling.kafka.test.ByteArraySimulation	bytearraysimulation	1620476814758	 	3.5.1
USER	Kafka Test	START	1620476815219
USER	Kafka Test	START	1620476816012
USER	Kafka Test	START	1620476816012
USER	Kafka Test	START	1620476815244
USER	Kafka Test	START	1620476816012
USER	Kafka Test	START	1620476815250
USER	Kafka Test	START	1620476816013
USER	Kafka Test	START	1620476815251
USER	Kafka Test	START	1620476816013
USER	Kafka Test	START	1620476816013
REQUEST		request	1620476815260	1620476816205	OK	 
USER	Kafka Test	END	1620476816213
REQUEST		request	1620476815260	1620476816214	OK	 
REQUEST		request	1620476815259	1620476816215	OK	 
REQUEST		request	1620476815258	1620476816215	OK	 
REQUEST		request	1620476816012	1620476816215	OK	 
REQUEST		request	1620476816012	1620476816215	OK	 
REQUEST		request	1620476816012	1620476816215	OK	 
REQUEST		request	1620476816013	1620476816215	OK	 
REQUEST		request	1620476816013	1620476816215	OK	 
REQUEST		request	1620476816013	1620476816215	OK	 
USER	Kafka Test	END	1620476816241
USER	Kafka Test	END	1620476816341
USER	Kafka Test	END	1620476816441
USER	Kafka Test	END	1620476816542
USER	Kafka Test	END	1620476816642
USER	Kafka Test	END	1620476816743
USER	Kafka Test	END	1620476816843
USER	Kafka Test	END	1620476816941
USER	Kafka Test	END	1620476817042
